CountryName,Latitude,Longitude,CountryCode,IndicatorName,IndicatorCode,y1960,y1961,y1962,y1963,y1964,y1965,y1966,y1967,y1968,y1969,y1970,y1971,y1972,y1973,y1974,y1975,y1976,y1977,y1978,y1979,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,p1960,p1961,p1962,p1963,p1964,p1965,p1966,p1967,p1968,p1969,p1970,p1971,p1972,p1973,p1974,p1975,p1976,p1977,p1978,p1979,p1980,p1981,p1982,p1983,p1984,p1985,p1986,p1987,p1988,p1989,p1990,p1991,p1992,p1993,p1994,p1995,p1996,p1997,p1998,p1999,p2000,p2001,p2002,p2003,p2004,p2005,p2006,p2007,p2008,p2009,p2010,p2011,g1960,g1961,g1962,g1963,g1964,g1965,g1966,g1967,g1968,g1969,g1970,g1971,g1972,g1973,g1974,g1975,g1976,g1977,g1978,g1979,g1980,g1981,g1982,g1983,g1984,g1985,g1986,g1987,g1988,g1989,g1990,g1991,g1992,g1993,g1994,g1995,g1996,g1997,g1998,g1999,g2000,g2001,g2002,g2003,g2004,g2005,g2006,g2007,g2008,g2009,g2010,g2011,g2012,g2013,g2014
China,35,105,CHN,CO2 emissions (kt),EN.ATM.CO2E.KT,780726.302,552066.85,440359.029,436695.696,436923.05,475972.933,522789.522,433234.048,468928.626,577237.138,771617.474,876633.02,931575.681,968542.708,988014.478,1145607.47,1196193.735,1310310.775,1462168.579,1494859.884,1467192.369,1451501.276,1580260.647,1667029.201,1814908.31,1966553.428,2068969.071,2209708.531,2369501.723,2408540.605,2460744.017,2584538.27,2695982.067,2878694.009,3058241.33,3320285.15,3463089.131,3469510.048,3324344.519,3318055.614,3405179.867,3487566.356,3694242.143,4525177.009,5288166.032,5790016.984,6414463.08,6791804.714,7035443.861,7692210.895,8256969.232,9019518.215,1.170381372,0.836046901,0.661428164,0.640001899,0.625646054,0.665524211,0.710891382,0.574162147,0.605451997,0.725149509,0.942934535,1.042239697,1.080676637,1.098195691,1.097367111,1.250124095,1.285283136,1.388842897,1.52920111,1.542675099,1.495250749,1.460431817,1.566739684,1.629055908,1.75044806,1.871054791,1.939434257,2.038410689,2.150905225,2.153077911,2.167703077,2.245901276,2.31420729,2.442800659,2.565993892,2.755754966,2.844309582,2.820567891,2.67674598,2.648649247,2.696862433,2.742120813,2.885225041,3.512245428,4.080138906,4.441150695,4.892727098,5.153564017,5.311151855,5.778143184,6.172488876,6.710301991,59184116489.00,49557050182.96,46685178504.33,50097303271.02,59062254890.19,69709153115.31,75879434776.18,72057028559.67,69993497892.31,78718820477.93,91506211306.37,98562023844.18,112159813640.38,136769878359.67,142254742077.71,161162492226.69,151627687364.41,172349014326.93,148382111520.19,176856525405.73,189649992463.99,194369049090.20,203549627211.61,228950200773.12,258082147252.26,307479585852.34,298805792971.54,271349773463.86,310722213686.03,345957485871.29,358973230048.40,381454703832.75,424934065934.07,442874596387.12,562261129868.77,732032045217.77,860844098049.12,958159424835.34,1025276902078.73,1089447108705.89,1205260678391.96,1332234719889.82,1461906487857.92,1649928718134.59,1941745602165.09,2268598904116.28,2729784031906.09,3523094314820.90,4558431073438.20,5059419738267.41,6039658508485.59,7492432097810.11,8461623162714.07,9490602600148.49,10354831729340.40
United States,38,-97,USA,CO2 emissions (kt),EN.ATM.CO2E.KT,2890696.1,2880505.507,2987207.873,3119230.874,3255995.306,3390922.571,3561878.111,3695708.943,3831354.94,4024748.853,4328904.501,4356770.034,4564952.958,4770194.948,4598487.673,4406329.539,4613100.668,4742292.745,4890861.25,4901796.244,4723209.677,4535800.308,4306748.487,4341878.347,4475192.132,4492555.377,4495463.308,4688373.177,4892526.068,4955081.421,4823557.132,4822383.692,4911103.09,5032931.831,5098475.789,5138009.716,5260696.535,5375235.28,5410918.857,5510430.236,5701829.301,5601404.839,5648727.474,5679222.246,5763456.903,5795161.785,5703871.82,5794923.43,5622464.42,5274132.423,5408869.004,5305569.614,15.99977916,15.68125552,16.0139375,16.48276215,16.96811858,17.45172525,18.12107301,18.59831788,19.08938916,19.85794566,21.11125227,20.98020348,21.74864198,22.51058213,21.50293038,20.40222407,21.15761537,21.53248401,21.97300469,21.78043698,20.78648774,19.76676417,18.59049523,18.57154371,18.97675027,18.88231274,18.72072272,19.35033442,20.01041341,20.07576978,19.32336817,19.06223666,19.14555576,19.36346258,19.37655644,19.29565986,19.52789051,19.71427574,19.6151546,19.74781478,20.20761476,19.65619321,19.63919577,19.57623905,19.68358135,19.61027504,19.11613882,19.23746045,18.48923375,17.1923791,17.48479218,17.02021634,543300000000.00,563300000000.00,605100000000.00,638600000000.00,685800000000.00,743700000000.00,815000000000.00,861700000000.00,942500000000.00,1019900000000.00,1075884000000.00,1167770000000.00,1282449000000.00,1428549000000.00,1548825000000.00,1688923000000.00,1877587000000.00,2085951000000.00,2356571000000.00,2632143000000.00,2862505000000.00,3210956000000.00,3344991000000.00,3638137000000.00,4040693000000.00,4346734000000.00,4590155000000.00,4870217000000.00,5252629000000.00,5657693000000.00,5979589000000.00,6174043000000.00,6539299000000.00,6878718000000.00,7308755000000.00,7664060000000.00,8100201000000.00,8608515000000.00,9089168000000.00,9660624000000.00,10284779000000.00,10621824000000.00,10977514000000.00,11510670000000.00,12274928000000.00,13093726000000.00,13855888000000.00,14477635000000.00,14718582000000.00,14418739000000.00,14964372000000.00,15517926000000.00,16163158000000.00,16768053000000.00,17419000000000.00
Aruba,12.5,-70,ABW,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,179.683,447.374,612.389,649.059,1840.834,1928.842,1723.49,1771.161,1763.827,1782.162,1800.497,1837.167,1712.489,1749.159,2321.211,2357.881,2372.549,2416.553,2420.22,2497.227,2497.227,2592.569,2508.228,2522.896,2456.89,2438.555,,,,,,,,,,,,,,,,,,,,,,,,,,,2.868319392,7.234964017,10.02650752,10.6347326,29.62016477,29.84760844,25.25815197,24.43048084,22.99644068,22.18661455,21.64188954,21.50066123,19.62153398,19.65258865,25.5476788,25.38248972,24.9755145,24.90906561,24.51054263,24.964531,24.76670634,25.61371495,24.75013321,24.87670585,24.18270225,23.9224121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1330167597.77,1320670391.06,1379888268.16,1531843575.42,1665363128.49,1722798882.68,1873452513.97,1920262569.83,1941094972.07,2021301675.98,2228279329.61,2331005586.59,2421474860.34,2623726256.98,2791960893.85,2498932960.89,2467703910.61,2584463687.15,,,
Andorra,42.5,1.6,AND,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.037,425.372,458.375,484.044,513.38,524.381,524.381,531.715,535.382,564.718,575.719,546.383,539.049,539.049,517.047,517.047,491.378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.374494942,6.616353766,7.145696603,7.576446281,8.001433893,8.018180706,7.73765678,7.484094812,7.159140446,7.208828523,7.088127747,6.553476545,6.350868305,6.296124556,6.049172848,6.12477049,5.96868547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,33.9,67.7,AFG,CO2 emissions (kt),EN.ATM.CO2E.KT,414.371,491.378,689.396,707.731,839.743,1008.425,1092.766,1283.45,1224.778,942.419,1672.152,1895.839,1532.806,1639.149,1917.841,2126.86,1987.514,2390.884,2159.863,2240.537,1760.16,1983.847,2101.191,2522.896,2830.924,3509.319,3142.619,3124.284,2867.594,2775.919,2676.91,2493.56,1426.463,1375.125,1320.12,1268.782,1199.109,1114.768,1056.096,832.409,781.071,645.392,894.748,1037.761,957.087,1338.455,1657.484,2280.874,4217.05,6776.616,8470.77,12251.447,0.046067875,0.053614943,0.073781338,0.074251368,0.086316543,0.101498607,0.10767397,0.123782381,0.115547383,0.086862817,0.150358548,0.166114846,0.130820142,0.136339954,0.155725123,0.169027082,0.154895026,0.183118308,0.163346971,0.168673488,0.133230271,0.152639744,0.165879122,0.205462699,0.237642948,0.301734199,0.274729698,0.275560305,0.252079156,0.239131208,0.221826764,0.194971232,0.103775745,0.092761103,0.083183538,0.075646465,0.06859185,0.061814349,0.057050868,0.043722588,0.03964437,0.031434756,0.041641211,0.046107612,0.040727366,0.05485483,0.065815968,0.088141054,0.158961558,0.24907353,0.302936388,0.425262105,537777811.91,548888894.58,546666678.04,751111190.76,800000045.51,1006666638.22,1399999965.87,1673333418.67,1373333367.47,1408888923.02,1748886596.27,1831108972.09,1595555475.91,1733333265.07,2155555498.67,2366666615.47,2555555566.93,2953333418.67,3300000108.09,3697940345.14,3641723447.18,3478787909.82,,,,,,,,,,,,,,,,,,,,2461666314.78,4128818042.26,4583648921.64,5285461999.34,6275076016.47,7057598406.62,9843842455.48,10190529882.49,12486943505.74,15936800636.25,17930239399.81,20536542736.73,20458939155.27,20038215159.39
Angola,-12.5,18.5,AGO,CO2 emissions (kt),EN.ATM.CO2E.KT,550.05,454.708,1180.774,1151.438,1224.778,1188.108,1554.808,993.757,1672.152,2786.92,3582.659,3410.31,4506.743,4880.777,4873.443,4415.068,3285.632,3534.988,5412.492,5504.167,5346.486,5280.48,4649.756,5115.465,5009.122,4701.094,4660.757,5815.862,5130.133,5009.122,4429.736,4367.397,4418.735,5801.194,3890.687,11012.001,10491.287,7381.671,7308.331,9156.499,9541.534,9732.218,12665.818,9064.824,18793.375,19156.408,22266.024,25151.953,27172.47,29361.669,29743.037,29710.034,0.104357101,0.084718406,0.216025343,0.206877061,0.216174133,0.206088959,0.265164146,0.166658589,0.275655471,0.451125604,0.568588577,0.529744961,0.684120294,0.723055043,0.703873436,0.621198891,0.450116912,0.471248794,0.701359921,0.692097154,0.651061684,0.621382804,0.527930763,0.560374447,0.530351031,0.482400531,0.464973712,0.565431153,0.486503528,0.462907837,0.398075822,0.380694834,0.372921412,0.473691138,0.307601078,0.844305988,0.781484777,0.5348313,0.515117027,0.627072296,0.633625299,0.625351712,0.786223278,0.543083667,1.086604897,1.069417185,1.200877147,1.311096483,1.369424769,1.430873373,1.401654169,1.35400753,,,,,,,,,,,,,,,,,,,,,,,,,,6684491978.61,6684491978.61,6684491978.61,6684491978.61,10026737967.91,10026737967.91,12118610904.23,5684291718.77,5278182970.80,3101000000.00,5060000000.00,7526963963.96,7649716157.21,6445427698.57,6152936539.22,9129634978.34,8936063723.20,15285594828.42,17812704825.20,23552047248.43,36970918699.25,52381006892.04,65266452081.39,88538611205.14,73157893409.91,83369475451.47,110890629341.45,125491841418.56,138356809261.96,
Albania,41,20,ALB,CO2 emissions (kt),EN.ATM.CO2E.KT,2024.184,2280.874,2464.224,2082.856,2016.85,2174.531,2552.232,2680.577,3072.946,3245.295,3744.007,4352.729,5643.513,5291.481,4345.395,4594.751,4950.45,5720.52,6494.257,7587.023,5170.47,7341.334,7308.331,7631.027,7825.378,7880.383,8056.399,7444.01,7326.666,8984.15,7488.014,3971.361,2387.217,2343.213,1928.842,2086.523,2016.85,1543.807,1752.826,2984.938,3021.608,3223.293,3751.341,4294.057,4165.712,4253.72,3865.018,4477.407,4657.09,4488.408,4415.068,4668.091,1.258194928,1.374186047,1.439955964,1.181681144,1.11174196,1.166099043,1.333055465,1.3637463,1.519551277,1.558967572,1.753239905,1.989497923,2.515914398,2.303897417,1.849006691,1.910633637,2.013584562,2.275876391,2.53062504,2.898208518,1.93505831,2.693023914,2.624856785,2.683239919,2.694291374,2.658015382,2.665356221,2.414060815,2.331598531,2.783243075,2.278386827,1.215676857,0.73519813,0.726062789,0.601346953,0.654537133,0.636625313,0.49036506,0.560271437,0.960164412,0.978174681,1.053304176,1.229540709,1.412697196,1.376212735,1.412498211,1.291547969,1.507535815,1.580113283,1.533178094,1.515632053,1.60703771,,,,,,,,,,,,,,,,,,,,,,,,,1924242453.01,1965384586.24,2173750012.50,2156624900.00,2126000000.00,2335124987.50,2101624962.50,1139166645.83,709452583.88,1228071037.84,1985673798.10,2424499009.14,3314898291.38,2359903108.25,2707123772.40,3414760915.22,3632043907.79,4060758804.11,4435078647.86,5746945912.89,7314865175.67,8158548716.53,8992642348.96,10701011896.29,12881352687.78,12044212903.55,11926953259.26,12890867538.46,12319784787.14,12781029643.42,13211513725.59
United Arab Emirates,23.4,53.8,ARE,CO2 emissions (kt),EN.ATM.CO2E.KT,11.001,11.001,18.335,22.002,18.335,22.002,25.669,916.75,1243.113,20524.199,15247.386,21184.259,23454.132,30630.451,31327.181,31070.491,39651.271,38785.859,44814.407,36607.661,36904.688,36857.017,36871.685,35342.546,46394.884,49926.205,47234.627,47693.002,48367.73,54487.953,52009.061,57010.849,58136.618,65980.331,73130.981,70641.088,41059.399,41646.119,81495.408,78374.791,112562.232,101414.552,84704.033,106841.712,113240.627,116148.558,123874.927,139404.672,158935.114,162602.114,167596.568,178483.891,0.118785902,0.108936971,0.16335531,0.175712369,0.132650846,0.146369696,0.159358568,5.336736892,6.708216413,99.84043878,64.76288896,76.98887556,72.37388334,80.01204473,69.31589696,58.48397881,63.74279762,53.65693112,54.16332122,39.47756127,36.29532578,33.7176354,31.82772295,29.011557,36.23813266,36.97051612,33.01855443,31.39781737,29.96939719,31.8249004,28.71116029,29.79884329,28.79455913,31.00779092,32.67283286,30.05758168,16.63855671,16.04724031,29.81063074,27.17395364,36.90410107,31.51609903,24.95655145,29.4670889,28.48143699,25.91458723,23.95451916,23.19506697,23.03360047,21.10229562,20.12095728,20.43383762,,,,,,,,,,,,,,,,14720672892.08,19213022856.06,24871774865.63,23775831263.31,31225462774.47,43598747466.60,49333424083.85,46622718556.84,42803323300.66,41807954192.46,40603650189.35,33943612059.52,36384908706.40,36275674165.52,41464995870.83,50701443695.61,51552165622.45,54239171887.77,55625170253.34,59305093979.84,65743666575.86,73571233996.19,78839008444.57,75674336283.19,84445473110.96,104337372362.15,103311640571.82,109816201497.62,124346358066.71,147824370319.95,180617018379.85,222105922396.19,257916133424.10,315474615738.60,253547358747.45,286049336038.12,348526072157.93,373429543907.42,387192103471.75,399451327433.63
Argentina,-38.4,-63.6,ARG,CO2 emissions (kt),EN.ATM.CO2E.KT,48815.104,51180.319,53695.881,50083.886,55727.399,58866.351,63138.406,65543.958,69082.613,77329.696,82734.854,88939.418,90156.862,94065.884,95569.354,94931.296,99786.404,100791.162,102639.33,110703.063,108737.551,102041.609,103424.068,105213.564,106522.683,100596.811,104212.473,114942.115,121473.042,117090.977,112613.57,117021.304,121447.373,118609.115,123350.546,122547.473,129217.746,134677.909,137673.848,145488.225,141076.824,132631.723,123266.205,133126.768,156170.196,160951.964,174237.505,179738.005,191578.748,180654.755,179000.938,190034.941,2.367473032,2.442615665,2.522392105,2.316355797,2.53837965,2.641714463,2.792653923,2.858162546,2.969855218,3.275850301,3.451159222,3.650078169,3.637858366,3.730791118,3.726699112,3.641822498,3.768773931,3.749871115,3.762750231,3.998733697,3.86885293,3.574967612,3.567086543,3.572041973,3.560142178,3.310327288,3.377245218,3.669168725,3.820445808,3.629202129,3.440710803,3.525383685,3.608582241,3.477160476,3.569365678,3.501874849,3.648190358,3.758387022,3.79878183,3.969875863,3.806975725,3.539532688,3.253312671,3.47503504,4.032407013,4.111634824,4.404525042,4.496833655,4.744178401,4.427960113,4.342272052,4.562048512,,,24450604877.61,18272123664.47,25605249381.76,28344705966.64,28630474727.90,24256667553.26,26436857247.50,31256284543.62,31584210365.54,33293199095.49,34733000536.29,52544000116.90,72436777342.46,52438647921.92,51169499890.77,56781000100.94,58082870156.26,69252328953.38,76961923741.95,78676842366.42,84307486836.72,103979106777.91,79092001998.03,88416668900.26,110934442762.69,111106191358.20,126206817196.09,76636898036.47,141352368714.69,189719984268.49,228788617201.70,236741715015.02,257440000000.00,258031750000.00,272149750000.00,292859000000.00,298948250000.00,283523000000.00,284203750000.00,268696750000.00,97724513456.48,127586251760.67,181873056796.97,220813784300.12,262666517346.67,329317513142.71,403781994527.79,376627876887.77,461640242696.17,557890203658.13,604378456915.58,614383517369.50,537659972702.09
Armenia,40.1,45,ARM,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4052.035,2896.93,2966.603,3490.984,2607.237,3278.298,3406.643,3058.278,3465.315,3542.322,3043.61,3428.645,3644.998,4352.729,4382.065,5064.127,5559.172,4360.063,4217.05,4961.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.174674163,0.859706565,0.901718662,1.083089242,0.821584566,1.044825239,1.094342744,0.988511937,1.126529454,1.15760795,0.998805808,1.1291735,1.20456698,1.443730955,1.459636908,1.694755259,1.868611029,1.469960972,1.422998378,1.671656923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256838858.43,2068526521.90,1272577521.77,1201313196.46,1315158670.48,1468317350.02,1596968913.19,1639492424.38,1893726437.36,1845482181.49,1911563665.39,2118467913.38,2376335048.40,2807061008.69,3576615240.42,4900469515.07,6384451606.14,9206301700.40,11662040713.88,8647936747.99,9260284937.80,10142111334.50,10619320048.59,11121465767.41,11644438422.98
